domain,avg_align
share.credoaction.com,-0.8941
shareprogress.org,-0.8971
shoebat.com,0.8703
silive.com,-0.0627
slate.com,-0.6813
sonsoflibertymedia.com,0.9286
stltoday.com,-0.309
stripes.com,0.3658
student-debt-forgiveness.com,-0.5858
tacticalshit.com,0.8118
takepart.com,-0.7045
talkingpointsmemo.com,-0.8614
tampabay.com,-0.4745
teaparty.org,0.9423
teapartycrusaders.com,0.8525
ted.com,-0.4859
telegraph.co.uk,0.0269
tellmenow.com,0.7818
the-colbert-report,-0.6937
the-daily-show-with-trevor-noah,-0.6704
theantimedia.com,-0.3584
theantimedia.org,-0.3584
theatlantic.com,-0.5424
theblaze.com,0.8887
thecolbertreport.cc.com,-0.6937
thedailybeast.com,-0.4561
thedailyshow.cc.com,-0.6704
thedenverchannel.com,-0.012
theeverlastinggopstoppers.com,-0.8928
thefederalist.com,0.8559
thefederalistpapers.org,0.8659
thefreethoughtproject.com,-0.3618
thegatewaypundit.com,0.9389
thegrio.com,-0.8326
theguardian.com,-0.5723
thehill.com,0.1661
theisraelwire.com,0.6922
themindunleashed.com,-0.4008
themindunleashed.org,-0.4008
theminorityreportblog.com,0.9026
thenation.com,-0.9463
thenewamerican.com,0.7993
thenewcivilrightsmovement.com,-0.9643
theonion.com,-0.5516
thepcmdgazette.com,0.8222
thepetitionsite.com,-0.6
thepolicewifelifeblog.com,0.6271
thepoliticalinsider.com,0.8998
therightscoop.com,0.9275
theroot.com,-0.7792
thetruthaboutguns.com,0.6965
theuspatriot.com,0.8568
theverge.com,-0.2609
theweek.com,-0.1809
thinkprogress.org,-0.8615
threepercenternation.com,0.8465
time.com,-0.3336
timesofisrael.com,0.3685
tmn.today,0.7818
today.com,-0.1668
topinfopost.com,-0.1502
toprightnews.com,0.8796
townhall.com,0.9263
tpnn.com,0.9323
trofire.com,-0.9472
trueactivist.com,-0.6032
truth-out.org,-0.8937
truthandaction.org,0.7952
truthdig.com,-0.8565
truthout.org,-0.8937
truthrevolt.org,0.8805
truthuncensored.net,0.8463
twitchy.com,0.9375
tytnetwork.com,-0.7785
ufpnews.com,0.8641
ulstermanbooks.com,0.9456
unitedwithisrael.org,0.5564
universalfreepress.com,0.8641
uproxx.com,-0.4468
upworthy.com,-0.8097
usatoday.com,-0.0635
usnews.com,-0.0392
valleycentral.com,0.0592
vice.com,-0.6267
video.foxnews.com,0.838
vimeo.com,-0.2916
viral.buzz,0.9176
viralbuzznews.org,0.9176
viralsurvival.com,0.813
virtualjerusalem.com,0.512
voicesofliberty.com,0.4358
vox.com,-0.6591
washington.cbslocal.com,0.3279
washingtonexaminer.com,0.82045
washingtonpost.com,-0.2568
washingtontimes.com,0.6975
waynedupree.com,0.8971
wbaltv.com,-0.0221
wbrc.com,0.0788
wcvb.com,-0.185
weareultraviolet.org,-0.971
weaselzippers.us,1.0295
weeklystandard.com,0.9074
westernjournal.com,0.8991
westernjournal.com/ct,0.9044
westernjournal.com/hermancain,0.934
westernjournalism.com,0.8991
wfaa.com,0.1198
wfla.com,0.04099
wfmz.com,-0.0973
wfsb.com,-0.1726
wftv.com,-0.2162
wgntv.com,-0.3593
what-character-are-you.com,-0.009
whio.com,-0.0029
whitehouse.gov,-0.5325
whnt.com,0.265
wikipedia.org,-0.2145
wired.com,-0.4027
wjla.com,-0.3195
wmur.com,0.098
wnd.com,0.9013
wnep.com,-0.0328
worldstarhiphop.com,-0.7047
worldtruth.tv,-0.0491
woundedamericanwarrior.com,0.8614
wpxi.com,-0.2221
wral.com,-0.0685
wsbtv.com,-0.0872
wsfa.com,0.1107
wsj.com,0.2754
wtvr.com,-0.0734
wusa9.com,-0.4447
wxyz.com,-0.3539
ynetnews.com,0.3335
youngcons.com,0.9685
yournewswire.com,-0.2572
youtube.com,0.0634
zerohedge.com,0.4721
